repeat,fold,model,n_all,events_all,cindex_all,n_ct,events_ct,cindex_ct,n_mr,events_mr,cindex_mr
1,0,resnet18_imagenet_ensemble_train_percentile50,43,13,0.6901197604790419,37,11,0.74375,6,2,0.5714285714285714
1,0,resnet18_imagenet_ensemble_raw50,43,13,0.6616766467065869,37,11,0.7291666666666666,6,2,0.42857142857142855
1,0,resnet18_imagenet_ensemble_train_z50,43,13,0.6946107784431138,37,11,0.75,6,2,0.5714285714285714
1,0,radimagenet50_mamba,43,13,0.8652694610778443,37,11,0.9,6,2,1.0
1,0,radimagenet50_attention,43,13,0.8353293413173652,37,11,0.8666666666666667,6,2,0.7142857142857143
1,0,radimagenet50_ensemble_train_percentile50,43,13,0.8622754491017964,37,11,0.875,6,2,1.0
1,0,radimagenet50_ensemble_raw50,43,13,0.8652694610778443,37,11,0.8875,6,2,1.0
1,0,radimagenet50_ensemble_train_z50,43,13,0.8622754491017964,37,11,0.8833333333333333,6,2,1.0
1,1,resnet18_imagenet_mamba,43,13,0.6289855072463768,40,12,0.615916955017301,3,1,1.0
1,1,resnet18_imagenet_attention,43,13,0.5855072463768116,40,12,0.5709342560553633,3,1,1.0
1,1,resnet18_imagenet_ensemble_train_percentile50,43,13,0.6043478260869565,40,12,0.5899653979238755,3,1,1.0
1,1,resnet18_imagenet_ensemble_raw50,43,13,0.6115942028985507,40,12,0.5951557093425606,3,1,1.0
1,1,resnet18_imagenet_ensemble_train_z50,43,13,0.6115942028985507,40,12,0.5951557093425606,3,1,1.0
1,1,radimagenet50_mamba,43,13,0.5855072463768116,40,12,0.5951557093425606,3,1,0.0
1,1,radimagenet50_attention,43,13,0.6231884057971014,40,12,0.6193771626297578,3,1,0.5
1,1,radimagenet50_ensemble_train_percentile50,43,13,0.5942028985507246,40,12,0.5986159169550173,3,1,0.0
1,1,radimagenet50_ensemble_raw50,43,13,0.5971014492753624,40,12,0.6020761245674741,3,1,0.0
1,1,radimagenet50_ensemble_train_z50,43,13,0.591304347826087,40,12,0.5951557093425606,3,1,0.0
1,2,resnet18_imagenet_mamba,43,13,0.7218045112781954,38,10,0.7794117647058824,5,3,0.2
1,2,resnet18_imagenet_attention,43,13,0.7105263157894737,38,10,0.7598039215686274,5,3,0.6
1,2,resnet18_imagenet_ensemble_train_percentile50,43,13,0.731203007518797,38,10,0.7696078431372549,5,3,0.6
1,2,resnet18_imagenet_ensemble_raw50,43,13,0.7293233082706767,38,10,0.7696078431372549,5,3,0.6
1,2,resnet18_imagenet_ensemble_train_z50,43,13,0.7255639097744361,38,10,0.7696078431372549,5,3,0.6
1,2,radimagenet50_mamba,43,13,0.7406015037593985,38,10,0.8088235294117647,5,3,0.4
1,2,radimagenet50_attention,43,13,0.7330827067669173,38,10,0.8137254901960784,5,3,0.4
1,2,radimagenet50_ensemble_train_percentile50,43,13,0.7406015037593985,38,10,0.8137254901960784,5,3,0.4
1,2,radimagenet50_ensemble_raw50,43,13,0.7330827067669173,38,10,0.8137254901960784,5,3,0.4
1,2,radimagenet50_ensemble_train_z50,43,13,0.7293233082706767,38,10,0.8137254901960784,5,3,0.4
1,3,resnet18_imagenet_mamba,43,13,0.7722419928825622,36,11,0.7647058823529411,7,2,0.9090909090909091
1,3,resnet18_imagenet_attention,43,13,0.6619217081850534,36,11,0.6737967914438503,7,2,0.6363636363636364
1,3,resnet18_imagenet_ensemble_train_percentile50,43,13,0.693950177935943,36,11,0.6951871657754011,7,2,0.7272727272727273
1,3,resnet18_imagenet_ensemble_raw50,43,13,0.7330960854092526,36,11,0.7272727272727273,7,2,0.8181818181818182
1,3,resnet18_imagenet_ensemble_train_z50,43,13,0.701067615658363,36,11,0.7005347593582888,7,2,0.7272727272727273
1,3,radimagenet50_mamba,43,13,0.6120996441281139,36,11,0.6524064171122995,7,2,0.5454545454545454
1,3,radimagenet50_attention,43,13,0.6120996441281139,36,11,0.6470588235294118,7,2,0.5454545454545454
1,3,radimagenet50_ensemble_train_percentile50,43,13,0.6138790035587188,36,11,0.6497326203208557,7,2,0.5454545454545454
1,3,radimagenet50_ensemble_raw50,43,13,0.6120996441281139,36,11,0.6470588235294118,7,2,0.5454545454545454
1,3,radimagenet50_ensemble_train_z50,43,13,0.6120996441281139,36,11,0.6470588235294118,7,2,0.5454545454545454
1,4,resnet18_imagenet_mamba,42,12,0.8165137614678899,39,9,0.8288288288288288,3,3,0.6666666666666666
1,4,resnet18_imagenet_attention,42,12,0.8409785932721713,39,9,0.8288288288288288,3,3,0.6666666666666666
1,4,resnet18_imagenet_ensemble_train_percentile50,42,12,0.8440366972477065,39,9,0.8333333333333334,3,3,0.6666666666666666
1,4,resnet18_imagenet_ensemble_raw50,42,12,0.8470948012232415,39,9,0.8378378378378378,3,3,0.6666666666666666
1,4,resnet18_imagenet_ensemble_train_z50,42,12,0.8470948012232415,39,9,0.8378378378378378,3,3,0.6666666666666666
1,4,radimagenet50_mamba,42,12,0.7828746177370031,39,9,0.7522522522522522,3,3,0.6666666666666666
1,4,radimagenet50_attention,42,12,0.8134556574923547,39,9,0.7657657657657657,3,3,0.6666666666666666
1,4,radimagenet50_ensemble_train_percentile50,42,12,0.8012232415902141,39,9,0.7567567567567568,3,3,0.6666666666666666
1,4,radimagenet50_ensemble_raw50,42,12,0.7951070336391437,39,9,0.7477477477477478,3,3,0.6666666666666666
1,4,radimagenet50_ensemble_train_z50,42,12,0.7981651376146789,39,9,0.7522522522522522,3,3,0.6666666666666666
2,0,resnet18_imagenet_mamba,43,13,0.6870967741935484,39,12,0.6892430278884463,4,1,1.0
2,0,resnet18_imagenet_attention,43,13,0.7161290322580646,39,12,0.7330677290836654,4,1,1.0
2,0,resnet18_imagenet_ensemble_train_percentile50,43,13,0.7112903225806452,39,12,0.7231075697211156,4,1,1.0
2,0,resnet18_imagenet_ensemble_raw50,43,13,0.6967741935483871,39,12,0.701195219123506,4,1,1.0
2,0,resnet18_imagenet_ensemble_train_z50,43,13,0.7032258064516129,39,12,0.7091633466135459,4,1,1.0
2,0,radimagenet50_mamba,43,13,0.6419354838709678,39,12,0.6653386454183267,4,1,0.6666666666666666
2,0,radimagenet50_attention,43,13,0.7258064516129032,39,12,0.7250996015936255,4,1,1.0
2,0,radimagenet50_ensemble_train_percentile50,43,13,0.7096774193548387,39,12,0.7091633466135459,4,1,1.0
2,0,radimagenet50_ensemble_raw50,43,13,0.7,39,12,0.7131474103585658,4,1,1.0
2,0,radimagenet50_ensemble_train_z50,43,13,0.7,39,12,0.7131474103585658,4,1,1.0
2,1,resnet18_imagenet_mamba,43,13,0.7033333333333334,41,11,0.6583333333333333,2,2,1.0
2,1,resnet18_imagenet_attention,43,13,0.7233333333333334,41,11,0.6958333333333333,2,2,0.0
2,1,resnet18_imagenet_ensemble_train_percentile50,43,13,0.7316666666666667,41,11,0.7020833333333333,2,2,0.0
2,1,resnet18_imagenet_ensemble_raw50,43,13,0.72,41,11,0.6875,2,2,0.0
2,1,resnet18_imagenet_ensemble_train_z50,43,13,0.73,41,11,0.7,2,2,0.0
2,1,radimagenet50_mamba,43,13,0.6633333333333333,41,11,0.6958333333333333,2,2,1.0
2,1,radimagenet50_attention,43,13,0.7333333333333333,41,11,0.7125,2,2,1.0
2,1,radimagenet50_ensemble_train_percentile50,43,13,0.7066666666666667,41,11,0.7,2,2,1.0
2,1,radimagenet50_ensemble_raw50,43,13,0.7,41,11,0.7,2,2,1.0
2,1,radimagenet50_ensemble_train_z50,43,13,0.7066666666666667,41,11,0.7,2,2,1.0
2,2,resnet18_imagenet_mamba,43,13,0.7604456824512534,40,11,0.7832167832167832,3,2,0.6666666666666666
2,2,resnet18_imagenet_attention,43,13,0.7520891364902507,40,11,0.7692307692307693,3,2,0.6666666666666666
2,2,resnet18_imagenet_ensemble_train_percentile50,43,13,0.754874651810585,40,11,0.7727272727272727,3,2,0.6666666666666666
2,2,resnet18_imagenet_ensemble_raw50,43,13,0.7576601671309192,40,11,0.7762237762237763,3,2,0.6666666666666666
2,2,resnet18_imagenet_ensemble_train_z50,43,13,0.7576601671309192,40,11,0.7762237762237763,3,2,0.6666666666666666
2,2,radimagenet50_mamba,43,13,0.7437325905292479,40,11,0.7447552447552448,3,2,0.6666666666666666
2,2,radimagenet50_attention,43,13,0.7632311977715878,40,11,0.7692307692307693,3,2,0.6666666666666666
2,2,radimagenet50_ensemble_train_percentile50,43,13,0.745125348189415,40,11,0.756993006993007,3,2,0.6666666666666666
2,2,radimagenet50_ensemble_raw50,43,13,0.7437325905292479,40,11,0.7552447552447552,3,2,0.6666666666666666
2,2,radimagenet50_ensemble_train_z50,43,13,0.7493036211699164,40,11,0.7587412587412588,3,2,0.6666666666666666
2,3,resnet18_imagenet_mamba,43,13,0.6784660766961652,34,10,0.7055837563451777,9,3,0.5294117647058824
2,3,resnet18_imagenet_attention,43,13,0.6607669616519174,34,10,0.7106598984771574,9,3,0.5294117647058824
2,3,resnet18_imagenet_ensemble_train_percentile50,43,13,0.6828908554572272,34,10,0.7258883248730964,9,3,0.5294117647058824
2,3,resnet18_imagenet_ensemble_raw50,43,13,0.6814159292035398,34,10,0.7258883248730964,9,3,0.5294117647058824
2,3,resnet18_imagenet_ensemble_train_z50,43,13,0.6814159292035398,34,10,0.7258883248730964,9,3,0.5294117647058824
2,3,radimagenet50_mamba,43,13,0.6489675516224189,34,10,0.7563451776649747,9,3,0.35294117647058826
2,3,radimagenet50_attention,43,13,0.7020648967551623,34,10,0.7461928934010152,9,3,0.7058823529411765
2,3,radimagenet50_ensemble_train_percentile50,43,13,0.6873156342182891,34,10,0.7563451776649747,9,3,0.47058823529411764
2,3,radimagenet50_ensemble_raw50,43,13,0.696165191740413,34,10,0.7614213197969543,9,3,0.5882352941176471
2,3,radimagenet50_ensemble_train_z50,43,13,0.6784660766961652,34,10,0.751269035532995,9,3,0.47058823529411764
2,4,resnet18_imagenet_mamba,42,12,0.584070796460177,36,9,0.5827814569536424,6,3,0.6666666666666666
2,4,resnet18_imagenet_attention,42,12,0.5619469026548672,36,9,0.5695364238410596,6,3,0.16666666666666666
2,4,resnet18_imagenet_ensemble_train_percentile50,42,12,0.5575221238938053,36,9,0.5695364238410596,6,3,0.5
2,4,resnet18_imagenet_ensemble_raw50,42,12,0.588495575221239,36,9,0.5960264900662252,6,3,0.6666666666666666
2,4,resnet18_imagenet_ensemble_train_z50,42,12,0.5619469026548672,36,9,0.5695364238410596,6,3,0.5
2,4,radimagenet50_mamba,42,12,0.47345132743362833,36,9,0.5099337748344371,6,3,0.0
2,4,radimagenet50_attention,42,12,0.48672566371681414,36,9,0.543046357615894,6,3,0.0
2,4,radimagenet50_ensemble_train_percentile50,42,12,0.4911504424778761,36,9,0.5364238410596026,6,3,0.0
2,4,radimagenet50_ensemble_raw50,42,12,0.5,36,9,0.5496688741721855,6,3,0.0
2,4,radimagenet50_ensemble_train_z50,42,12,0.5,36,9,0.5496688741721855,6,3,0.0
